Sum of Adj Close,Sum of Close,Sum of Column1,Year,Quarter,Month,Day,Sum of High,Sum of Low,Sum of Open,Sum of Volume
1112.888916,1287.875,25,2015,Qtr 1,February,6,1297.400024,1275.425049,1276.5,2136416
1085.733643,1256.449951,26,2015,Qtr 1,February,9,1284.550049,1250,1280.75,2076432
1054.73291,1220.574951,27,2015,Qtr 1,February,10,1263.125,1216.5,1255,3799054
1062.833984,1229.949951,28,2015,Qtr 1,February,11,1243.625,1223.625,1227.525024,2937522
1063.806274,1231.074951,29,2015,Qtr 1,February,12,1239.900024,1223.5,1239.900024,3107980
1096.902466,1269.375,30,2015,Qtr 1,February,13,1273.875,1230.125,1235,4158326
1116.798828,1292.400024,31,2015,Qtr 1,February,16,1297.5,1277.5,1280,2364392
1138.769287,1317.824951,32,2015,Qtr 1,February,18,1321.5,1282.625,1292.525024,2660014
1158.385254,1340.525024,33,2015,Qtr 1,February,19,1343.650024,1317.5,1318,2618002
1156.008667,1337.775024,34,2015,Qtr 1,February,20,1349.400024,1321.125,1349.400024,1801588
1165.125,1348.324951,35,2015,Qtr 1,February,23,1361,1335.5,1335.5,1614892
1168.624756,1352.375,36,2015,Qtr 1,February,24,1365,1339.5,1347,2199922
1154.561157,1336.099976,37,2015,Qtr 1,February,25,1361,1333.925049,1355,1767994
1147.756348,1328.224976,38,2015,Qtr 1,February,26,1346.375,1312.675049,1339.5,1991994
1150.305664,1331.175049,39,2015,Qtr 1,February,27,1337.875,1308.150024,1329.724976,2877376
1153.35144,1334.699951,41,2015,Qtr 1,March,2,1354.474976,1326.275024,1339.849976,2176038
1199.409546,1388,42,2015,Qtr 1,March,3,1395,1338.074951,1341,3424308
1186.44751,1373,43,2015,Qtr 1,March,4,1406.050049,1357.824951,1394,3862994
1165.038696,1348.224976,44,2015,Qtr 1,March,5,1385.349976,1340.525024,1375,2173514
1143.587158,1323.400024,45,2015,Qtr 1,March,9,1339.900024,1305,1320,2883174
1141.815552,1321.349976,46,2015,Qtr 1,March,10,1339.125,1297.625,1324.449951,3037052
1126.195923,1303.275024,47,2015,Qtr 1,March,11,1329.974976,1298.900024,1321,2240200
1131.597046,1309.525024,48,2015,Qtr 1,March,12,1312.449951,1295.050049,1311.949951,1827636
1115.740356,1291.175049,49,2015,Qtr 1,March,13,1319.974976,1287.5,1319,1586838
1107.078125,1281.150024,50,2015,Qtr 1,March,16,1305,1276,1292.599976,1556296
1116.323853,1291.849976,51,2015,Qtr 1,March,17,1303.349976,1278.875,1291.25,1267318
1105.802856,1279.675049,52,2015,Qtr 1,March,18,1299.724976,1275.849976,1295.474976,1255170
1121.74585,1298.125,53,2015,Qtr 1,March,19,1302.925049,1284.050049,1288,2448964
1128.097778,1305.474976,54,2015,Qtr 1,March,20,1309,1289.425049,1298,1963908
1130.775879,1308.574951,55,2015,Qtr 1,March,23,1315.5,1303,1308,1566608
1119.607544,1295.650024,56,2015,Qtr 1,March,24,1318.5,1291.050049,1315,2394878
1112.02478,1286.875,57,2015,Qtr 1,March,25,1307,1272.599976,1295.699951,2224858
1085.82019,1256.550049,58,2015,Qtr 1,March,26,1293.349976,1250.5,1276.650024,3091642
1086.554321,1257.400024,59,2015,Qtr 1,March,27,1285.949951,1252.050049,1265.5,2751776
1107.876465,1282.074951,60,2015,Qtr 1,March,30,1284.949951,1260,1262.5,1339006
1103.469971,1276.974976,61,2015,Qtr 1,March,31,1284.724976,1260.5,1284.724976,2427028
1098.587646,1271.324951,62,2015,Qtr 2,April,1,1281.800049,1261.125,1279,2075758
1100.596558,1273.650024,63,2015,Qtr 2,April,6,1281.449951,1250.050049,1279,1568542
1116.885254,1292.5,64,2015,Qtr 2,April,7,1299.5,1272,1281.224976,1886922
1141.253906,1320.699951,65,2015,Qtr 2,April,8,1328.25,1295.425049,1297,1652134
1151.255981,1332.275024,66,2015,Qtr 2,April,9,1343.724976,1317.574951,1329.5,2544450
1146.589478,1326.875,67,2015,Qtr 2,April,10,1335.400024,1314,1324.25,1815544
1147.345825,1327.75,68,2015,Qtr 2,April,13,1332.5,1314,1332,1308642
1135.355835,1313.875,69,2015,Qtr 2,April,15,1356.949951,1304.699951,1327.349976,2913934
1115.935059,1291.400024,70,2015,Qtr 2,April,16,1313.5,1285.675049,1313.474976,3217570
1069.293335,1237.425049,71,2015,Qtr 2,April,17,1280,1235,1278.550049,9668742
1049.397095,1214.400024,72,2015,Qtr 2,April,20,1241.949951,1212.425049,1240.025024,2890722
1048.641113,1213.525024,73,2015,Qtr 2,April,21,1226,1200.5,1214.400024,2546032
1056.439697,1222.550049,74,2015,Qtr 2,April,22,1236.5,1203.775024,1215.75,4186812
1061.689087,1228.625,75,2015,Qtr 2,April,23,1239.900024,1215.849976,1236,4342990
1077.156738,1246.525024,76,2015,Qtr 2,April,24,1257,1223.775024,1227.650024,3625158
1080.24646,1250.099976,77,2015,Qtr 2,April,27,1260,1243,1249.75,2733052
1077.999512,1247.5,78,2015,Qtr 2,April,28,1255,1227.550049,1255,3088298
1074.672607,1243.650024,79,2015,Qtr 2,April,29,1247.5,1225.525024,1242,2019620
1064.476074,1231.849976,80,2015,Qtr 2,April,30,1245,1213.550049,1240,3738054
1072.188354,1240.775024,81,2015,Qtr 2,May,4,1252.400024,1228.599976,1245.5,1890630
1087.872437,1258.925049,82,2015,Qtr 2,May,5,1268.224976,1250,1250.5,3255070
1064.195068,1231.525024,83,2015,Qtr 2,May,6,1257.5,1227.900024,1257.5,3394406
1099.710693,1272.625,84,2015,Qtr 2,May,7,1276.875,1226.849976,1232.449951,3205028
1091.93396,1263.625,85,2015,Qtr 2,May,8,1294,1258.150024,1280,3003664
1104.355469,1278,86,2015,Qtr 2,May,11,1281.525024,1262.5,1267.5,2573082
1090.054077,1261.449951,87,2015,Qtr 2,May,12,1282.5,1256.5,1280,2467386
1086.81311,1257.699951,88,2015,Qtr 2,May,13,1273.5,1240.224976,1273.5,1863774
1079.83606,1249.625,89,2015,Qtr 2,May,14,1260,1242.5,1260,1309050
1084.977173,1255.574951,90,2015,Qtr 2,May,15,1266.199951,1250.5,1257.5,1461454
1088.973999,1260.199951,91,2015,Qtr 2,May,18,1262.625,1248.550049,1257.050049,4507752
1085.646729,1256.349976,92,2015,Qtr 2,May,19,1265,1248.375,1259.699951,1957722
1104.809204,1278.525024,93,2015,Qtr 2,May,20,1284.949951,1258.449951,1260,1897814
1104.139404,1277.75,94,2015,Qtr 2,May,21,1290,1274.074951,1278.5,1579578
1131.100098,1308.949951,95,2015,Qtr 2,May,22,1314.375,1269.625,1275,2691632
1123.798706,1300.5,96,2015,Qtr 2,May,25,1318.449951,1292.849976,1310,982978
1127.189941,1304.425049,97,2015,Qtr 2,May,26,1311.625,1294.449951,1302.5,1961740
1129.955322,1307.625,98,2015,Qtr 2,May,27,1316.574951,1296,1304,1620690
1127.470825,1304.75,99,2015,Qtr 2,May,28,1311.5,1291.125,1301.949951,2763608
1127.816772,1305.150024,100,2015,Qtr 2,May,29,1324.300049,1298.625,1308.5,4423532
1131.0354,1308.875,101,2015,Qtr 2,June,1,1323.550049,1304.175049,1304.724976,882264
1123.322632,1299.949951,102,2015,Qtr 2,June,2,1315,1295.25,1308,3935820
1128.075684,1305.449951,103,2015,Qtr 2,June,3,1312.800049,1295.25,1302,1804684
1125.807617,1302.824951,104,2015,Qtr 2,June,4,1311.400024,1294.25,1308.550049,4131468
1123.278198,1287.925049,105,2015,Qtr 2,June,5,1304.5,1285,1296,2308534
1123.975708,1288.724976,106,2015,Qtr 2,June,8,1295,1280.824951,1295,1570320
1117.085815,1280.824951,107,2015,Qtr 2,June,9,1295,1275.5,1292.5,2578914
